Residence,Frequency,Percentage,Cumulative Percentage
Slovenia,63,35.39325842696629,35.39325842696629
Germany,58,32.58426966292135,67.97752808988764
Finland,18,10.112359550561797,78.08988764044943
Croatia,8,4.49438202247191,82.58426966292134
Netherlands,4,2.247191011235955,84.8314606741573
Poland,4,2.247191011235955,87.07865168539325
Bulgaria,3,1.6853932584269662,88.76404494382022
United States of America,2,1.1235955056179776,89.88764044943821
Spain,2,1.1235955056179776,91.01123595505618
Ireland,2,1.1235955056179776,92.13483146067415
Brazil,2,1.1235955056179776,93.25842696629212
Serbia,2,1.1235955056179776,94.38202247191009
United Kingdom of Great Britain and Northern Ireland,1,0.5617977528089888,94.94382022471908
Sweden,1,0.5617977528089888,95.50561797752806
Austria,1,0.5617977528089888,96.06741573033705
Mexico,1,0.5617977528089888,96.62921348314603
Luxembourg,1,0.5617977528089888,97.19101123595502
Latvia,1,0.5617977528089888,97.752808988764
Estonia,1,0.5617977528089888,98.31460674157299
Czech Republic,1,0.5617977528089888,98.87640449438197
Canada,1,0.5617977528089888,99.43820224719096
Lithuania,1,0.5617977528089888,99.99999999999994
